Title;Authors;IMSDb Page;IMSDb Script Page
10 Things I Hate About You;Karen McCullah Lutz,Kirsten Smith,William Shakespeare;/Movie Scripts/10 Things I Hate About You Script.html;/scripts/10-Things-I-Hate-About-You.html
12;Lawrence Bridges;/Movie Scripts/12 Script.html;/scripts/12.html
12 and Holding;Anthony Cipriano;/Movie Scripts/12 and Holding Script.html;/scripts/12-and-Holding.html
12 Monkeys;David Peoples,Janet Peoples;/Movie Scripts/12 Monkeys Script.html;/scripts/12-Monkeys.html
12 Years a Slave;John Ridley;/Movie Scripts/12 Years a Slave Script.html;/scripts/12-Years-a-Slave.html
127 Hours;Simon Beaufoy,Danny Boyle;/Movie Scripts/127 Hours Script.html;/scripts/127-Hours.html
1492: Conquest of Paradise;Roslyne Bosch;/Movie Scripts/1492: Conquest of Paradise Script.html;/scripts/1492-Conquest-of-Paradise.html
15 Minutes;John Hertzfield;/Movie Scripts/15 Minutes Script.html;/scripts/15-Minutes.html
17 Again;Jason Filardi;/Movie Scripts/17 Again Script.html;/scripts/17-Again.html
187;Scott Yagemann;/Movie Scripts/187 Script.html;/scripts/187.html
2001: A Space Odyssey;Stanley Kubrick,Arhur C. Clarke;/Movie Scripts/2001: A Space Odyssey Script.html;/scripts/2001-A-Space-Odyssey.html
2012;Roland Emmerich,Harald Kloser;/Movie Scripts/2012 Script.html;/scripts/2012.html
25th Hour;David Benioff;/Movie Scripts/25th Hour Script.html;/scripts/25th-Hour.html
28 Days Later;Alex Garland;/Movie Scripts/28 Days Later Script.html;/scripts/28-Days-Later.html
30 Minutes or Less;Michael Diliberti,Matthew Sullivan;/Movie Scripts/30 Minutes or Less Script.html;/scripts/30-Minutes-or-Less.html
42;Brian Helgeland;/Movie Scripts/42 Script.html;/scripts/42.html
44 Inch Chest;Louis Mellis,David Scinto;/Movie Scripts/44 Inch Chest Script.html;/scripts/44-Inch-Chest.html
48 Hrs.;Steven E. De Souza,Walter Hill,Roger Spottiswoode,Larry Gross,Jeb Stuart;/Movie Scripts/48 Hrs. Script.html;/scripts/48-Hrs..html
50-50;Will Reiser;/Movie Scripts/50-50 Script.html;/scripts/50-50.html
500 Days of Summer;Scott Neustadter,Michael H. Weber;/Movie Scripts/500 Days of Summer Script.html;/scripts/500-Days-of-Summer.html
8MM;Andrew Kevin Walker;/Movie Scripts/8MM Script.html;/scripts/8MM.html
9;Pamela Pettler,Shane Acker;/Movie Scripts/9 Script.html;/scripts/9.html
A Few Good Men;Aaron Sorkin;/Movie Scripts/A Few Good Men Script.html;/scripts/A-Few-Good-Men.html
A Most Violent Year;J.C. Chandor;/Movie Scripts/A Most Violent Year Script.html;/scripts/A-Most-Violent-Year.html
A Prayer Before Dawn;Jonathan Hirschbein;/Movie Scripts/A Prayer Before Dawn Script.html;/scripts/A-Prayer-Before-Dawn.html
A Quiet Place;Bryan Woods,Scott Beck,John Krasinski;/Movie Scripts/A Quiet Place Script.html;/scripts/A-Quiet-Place.html
A Scanner Darkly;Charlie Kaufman;/Movie Scripts/A Scanner Darkly Script.html;/scripts/A-Scanner-Darkly.html
A Serious Man;Joel Coen,Ethan Coen;/Movie Scripts/A Serious Man Script.html;/scripts/A-Serious-Man.html
Above the Law;Steven Pressfield,Ronald Shusett,Andrew Davis,Steven Seagal;/Movie Scripts/Above the Law Script.html;/scripts/Above-the-Law.html
Absolute Power;David Baldacci,William Goldman;/Movie Scripts/Absolute Power Script.html;/scripts/Absolute-Power.html
Abyss, The;James Cameron;/Movie Scripts/Abyss, The Script.html;/scripts/Abyss,-The.html
Ace Ventura: Pet Detective;Jack Bernstein,Tom Shadyac,Jim Carrey;/Movie Scripts/Ace Ventura: Pet Detective Script.html;/scripts/Ace-Ventura-Pet-Detective.html
Adaptation;Charlie Kaufman,Donald Kaufman;/Movie Scripts/Adaptation Script.html;/scripts/Adaptation.html
Addams Family, The;Charles Addams,Caroline Thompson;/Movie Scripts/Addams Family, The Script.html;/scripts/Addams-Family,-The.html
Adjustment Bureau, The;George Nolfi,Philip K Dick;/Movie Scripts/Adjustment Bureau, The Script.html;/scripts/Adjustment-Bureau,-The.html
Adventures of Buckaroo Banzai Across the Eighth Dimension, The;Earl Mac Rauch;/Movie Scripts/Adventures of Buckaroo Banzai Across the Eighth Dimension, The Script.html;/scripts/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html
Affliction;Russell Banks,Paul Schrader;/Movie Scripts/Affliction Script.html;/scripts/Affliction.html
After School Special;David H. Steinberg;/Movie Scripts/After School Special Script.html;/scripts/After-School-Special.html
After.Life;Agnieszka Wojtowicz-Vosloo;/Movie Scripts/After.Life Script.html;/scripts/After.Life.html
Agnes of God;John Pielmeier;/Movie Scripts/Agnes of God Script.html;/scripts/Agnes-of-God.html
Air Force One;Andrew W. Marlowe;/Movie Scripts/Air Force One Script.html;/scripts/Air-Force-One.html
Airplane;Jim Abrahams, David Zucker,Jerry Zucker;/Movie Scripts/Airplane Script.html;/scripts/Airplane.html
Airplane 2: The Sequel;Ken Finkleman;/Movie Scripts/Airplane 2: The Sequel Script.html;/scripts/Airplane-2-The-Sequel.html
Aladdin;Roger Allers,Ron Clements;/Movie Scripts/Aladdin Script.html;/scripts/Aladdin.html
Ali;Stephen J Rivele,Christopher Wilkinson,Eric Roth,Michael Mann;/Movie Scripts/Ali Script.html;/scripts/Ali.html
Alien;Walter Hill,David Giler;/Movie Scripts/Alien Script.html;/scripts/Alien.html
Alien 3;Rex Pickett;/Movie Scripts/Alien 3 Script.html;/scripts/Alien-3.html
Alien Nation;Rockne O'Bannon,James Cameron;/Movie Scripts/Alien Nation Script.html;/scripts/Alien-Nation.html
Alien vs. Predator;Peter Briggs;/Movie Scripts/Alien vs. Predator Script.html;/scripts/Alien-vs.-Predator.html
Alien: Resurrection;Joss Whedon;/Movie Scripts/Alien: Resurrection Script.html;/scripts/Alien-Resurrection.html
Aliens;James Cameron;/Movie Scripts/Aliens Script.html;/scripts/Aliens.html
All About Eve;Joseph Mankiewicz;/Movie Scripts/All About Eve Script.html;/scripts/All-About-Eve.html
All About Steve;Kim Barker;/Movie Scripts/All About Steve Script.html;/scripts/All-About-Steve.html
All the King's Men;Robert Rossen;/Movie Scripts/All the King's Men Script.html;/scripts/All-the-King's-Men.html
All the President's Men;William Goldman;/Movie Scripts/All the President's Men Script.html;/scripts/All-the-President's-Men.html
Almost Famous;Cameron Crowe;/Movie Scripts/Almost Famous Script.html;/scripts/Almost-Famous.html
Alone in the Dark;Elan Mastai,Michael Roesch;/Movie Scripts/Alone in the Dark Script.html;/scripts/Alone-in-the-Dark.html
Amadeus;Peter Shaffer;/Movie Scripts/Amadeus Script.html;/scripts/Amadeus.html
